Player,RWAR
Grant Williams,-0.2
Rui Hachimura,-0.3
Jaden McDaniels,-0.2
Eric Bledsoe,-0.4
Marvin Bagley III,-0.4
Jeff Green,-0.4
Markieff Morris,-0.3
Aaron Holiday,-0.3
Kyle Kuzma,-0.5
John Wall,-0.4
Solomon Hill,-0.4
Damyean Dotson,-0.3
Patrick Williams,-0.7
Darius Garland,-0.8
DeAndre Jordan,-0.7
Cory Joseph,-0.7
Isaiah Roby,-0.6
Russell Westbrook,-1
Dwayne Bacon,-0.9
Bismack Biyombo,-0.8
Saddiq Bey,-0.9
Cole Anthony,-0.6
Aron Baynes,-0.8
Eric Paschall,-0.7
Gary Clark,-0.8
Bryn Forbes,-1.1
Rodney Hood,-1
Isaac Okoro,-1.9
Anthony Edwards,-2.2
Danuel House Jr.,-1.2
P.J. Tucker,-1.6
Darius Bazley,-1.8
Lonnie Walker IV,-1.6
Theo Maledon,-2.2
Anfernee Simons,-1.4
