Player,Position,Age,Team,Minutes,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,,,,,,,,,,
Andrew Wiggins,PF,25,GSW,1484,0.567,0.353,0.248,7.8,10.5,1.3,2.6,10.7,,,,,,,,,,
Carmelo Anthony,PF,36,POR,1140,0.539,0.392,0.225,6.8,10.2,1.6,2.5,7.3,,,,,,,,,,
Rui Hachimura,PF,22,WAS,1162,0.563,0.256,0.302,10,6.9,1.2,0.2,8.8,,,,,,,,,,
Garrett Temple,SG,34,CHI,1000,0.536,0.519,0.144,6.2,9.5,1.6,1.5,11.1,,,,,,,,,,
Marvin Bagley III,PF,21,SAC,951,0.553,0.231,0.262,16,5.5,0.9,1.7,9.6,,,,,,,,,,
Kelly Oubre Jr.,SF,25,GSW,1342,0.525,0.395,0.24,10.1,7,1.6,2.3,7.7,,,,,,,,,,
Will Barton,SF,30,DEN,1297,0.537,0.423,0.16,7.4,13.3,1.4,1.6,12.5,,,,,,,,,,
Patrick Williams,PF,19,CHI,1212,0.551,0.283,0.227,9.6,5.9,1.2,2.2,14.3,,,,,,,,,,
Gary Trent Jr.,SG,22,TOT,1293,0.547,0.579,0.14,3.8,6.7,1.4,0.4,5.2,,,,,,,,,,
Terrence Ross,SG,29,ORL,1066,0.536,0.455,0.19,6.2,12.4,1.8,1.5,10.2,,,,,,,,,,
Eric Bledsoe,SG,31,NOP,1296,0.528,0.485,0.224,6.4,17.3,1.2,1,12.3,,,,,,,,,,
Coby White,PG,20,CHI,1388,0.524,0.475,0.145,8,20.9,0.8,0.4,13.5,,,,,,,,,,
Solomon Hill,PF,29,ATL,834,0.513,0.751,0.121,6.4,6,1.8,0.7,12.9,,,,,,,,,,
Victor Oladipo,SG,28,TOT,969,0.516,0.417,0.225,8.1,23.9,1.9,1.1,10.5,,,,,,,,,,
Deni Avdija,SF,20,WAS,873,0.532,0.548,0.111,10.9,7.3,1.3,0.9,11,,,,,,,,,,
Elfrid Payton,PG,26,NYK,1013,0.485,0.158,0.191,7.4,21,1.4,0.7,12.9,,,,,,,,,,
P.J. Tucker,PF,35,TOT,1003,0.496,0.667,0.17,8.1,6.1,1.4,1.8,18.5,,,,,,,,,,
Cory Joseph,PG,29,TOT,991,0.531,0.364,0.208,6,14.9,2,0.8,14.3,,,,,,,,,,
Buddy Hield,SG,28,SAC,1606,0.556,0.73,0.111,7.3,12.7,1,0.8,10.5,,,,,,,,,,
Lonnie Walker,SG,22,SAS,968,0.526,0.459,0.119,5.6,9.2,0.9,1.2,8.6,,,,,,,,,,
Darius Garland,PG,21,CLE,1226,0.529,0.304,0.169,3.8,28.3,1.7,0.2,16.1,,,,,,,,,,
Tyler Herro,SG,21,MIA,1116,0.516,0.413,0.184,9.3,18.1,1,1.2,13,,,,,,,,,,
Cedi Osman,SF,25,CLE,1102,0.468,0.572,0.157,7.8,15.9,1.9,0.5,9.1,,,,,,,,,,
Dwayne Bacon,SG,25,ORL,1130,0.496,0.324,0.218,5.9,7.4,1,0.2,6.4,,,,,,,,,,
Russell Westbrook,PG,32,WAS,1289,0.496,0.219,0.349,15.2,46.6,1.7,1,18.7,,,,,,,,,,
Luguentz Dort,SG,21,OKC,1203,0.509,0.534,0.231,6.1,8,1.4,1.1,10.3,,,,,,,,,,
Dillon Brooks,SF,25,MEM,1163,0.495,0.375,0.168,5.4,12.4,2.1,1.3,10.6,,,,,,,,,,
Théo Maledon,PG,19,OKC,1051,0.511,0.565,0.13,6.3,18.2,1.7,0.3,18.7,,,,,,,,,,
John Wall,PG,30,HOU,985,0.503,0.339,0.292,5.7,37,1.4,2.1,14.1,,,,,,,,,,
Isaac Okoro,SG,20,CLE,1317,0.502,0.393,0.231,4.8,8,1.6,1.3,16,,,,,,,,,,
Josh Jackson,SG,23,DET,1008,0.51,0.369,0.308,9.3,14.3,1.8,2.9,14.7,,,,,,,,,,
Darius Bazley,PF,20,OKC,1104,0.487,0.462,0.201,12.8,7.3,0.8,1.8,12.6,,,,,,,,,,
Anthony Edwards,SG,19,MIN,1401,0.484,0.419,0.184,7.6,13.3,1.5,1,9.9,,,,,,,,,,
